ID,Time,Date,Place,Country,Continent,Latitude,Longitude,Depth,Mag,Type
iscgem901282,1940-04-16 06:07:47.770000+00:00,1940-04-16,"80 km SSE of Attu Station, Alaska",Alaska,North America,52.224,173.778,30.0,7.04,earthquake
iscgem901160,1940-01-17 01:14:56.420000+00:00,1940-01-17,Mariana Islands region,Mariana Islands,Oceania,17.139,148.059,15.0,7.5,earthquake
iscgem902291,1939-12-26 23:57:23.820000+00:00,1939-12-26,"20 km NNE of Erzincan, Turkey",Turkey,Europe,39.907,39.586,20.0,7.8,earthquake
iscgem902275,1939-12-21 21:00:45.010000+00:00,1939-12-21,"68 km SSW of Gorontalo, Indonesia",Indonesia,Asia,-0.018,122.793,150.0,8.1,earthquake
iscgem902274,1939-12-21 20:54:52.930000+00:00,1939-12-21,"4 km WNW of Atenas, Costa Rica",Costa Rica,North America,9.99,-84.412,25.0,7.59,earthquake
iscgem902187,1939-10-10 18:31:59.240000+00:00,1939-10-10,"off the east coast of Honshu, Japan",Japan,Asia,38.513,143.07,20.0,7.41,earthquake
iscgem902140,1939-09-08 12:04:47.580000+00:00,1939-09-08,"238 km SSE of Attu Station, Alaska",Alaska,North America,50.999,174.959,15.0,7.24,earthquake
iscgem901929,1939-05-02 13:14:54.020000+00:00,1939-05-02,"92 km NNE of San Luis, Mexico",Mexico,North America,29.241,-113.513,10.0,7.19,earthquake
iscgem901919,1939-05-01 05:58:29.860000+00:00,1939-05-01,"28 km W of Tenn?, Japan",Japan,Asia,39.93,139.637,10.0,7.19,earthquake
iscgem901916,1939-04-30 02:55:30.650000+00:00,1939-04-30,"23 km SSE of Malango, Solomon Islands",Solomon Islands,Oceania,-9.881,159.829,15.0,7.83,earthquake
iscgem901902,1939-04-18 06:22:44.120000+00:00,1939-04-18,"Atacama, Chile",Chile,South America,-27.218,-70.875,35.0,7.42,earthquake
iscgem901890,1939-04-05 16:42:43.990000+00:00,1939-04-05,"48 km SSW of Isangel, Vanuatu",Vanuatu,Oceania,-19.924,169.055,30.0,7.06,earthquake
iscgem901866,1939-03-21 01:11:14.910000+00:00,1939-03-21,South Indian Ocean,Indian Ocean,Indian Ocean,-1.272,89.324,15.0,7.5,earthquake
iscgem901797,1939-01-30 02:18:30.410000+00:00,1939-01-30,"85 km S of Panguna, Papua New Guinea",Papua New Guinea,Oceania,-7.086,155.388,35.0,7.82,earthquake
iscgem901785,1939-01-25 03:32:14.960000+00:00,1939-01-25,"26 km WNW of San Carlos, Chile",Chile,South America,-36.296,-72.213,35.0,7.85,earthquake
iscgem902854,1938-12-06 23:00:52.970000+00:00,1938-12-06,"113 km ESE of Yujing, Taiwan",Taiwan,Asia,22.841,121.52,15.0,7.02,earthquake
iscgem902835,1938-11-30 02:29:51.350000+00:00,1938-11-30,"99 km E of Iwaki, Japan",Japan,Asia,37.036,142.002,30.0,7.04,earthquake
iscgem902790,1938-11-13 22:31:31.120000+00:00,1938-11-13,"200 km ESE of Iwaki, Japan",Japan,Asia,36.482,143.02,35.0,7.11,earthquake
official19381110201849000_35,1938-11-10 20:18:49+00:00,1938-11-10,Alaska Peninsula,Alaska,North America,55.178,-158.181,35.0,8.23,earthquake
iscgem902752,1938-11-06 21:38:47.220000+00:00,1938-11-06,"141 km ESE of Namie, Japan",Japan,Asia,37.009,142.485,25.0,7.6,earthquake
iscgem902745,1938-11-06 08:53:55.300000+00:00,1938-11-06,"116 km E of Namie, Japan",Japan,Asia,37.382,142.305,30.0,7.7,earthquake
iscgem902741,1938-11-05 10:50:18.100000+00:00,1938-11-05,"116 km ESE of Namie, Japan",Japan,Asia,37.147,142.241,35.0,7.7,earthquake
iscgem902740,1938-11-05 08:43:24.230000+00:00,1938-11-05,"105 km E of Iwaki, Japan",Japan,Asia,36.971,142.065,35.0,7.8,earthquake
iscgem902719,1938-10-20 02:19:30.190000+00:00,1938-10-20,"70 km SE of Maumere, Indonesia",Indonesia,Asia,-8.996,122.726,66.0,7.16,earthquake
iscgem902710,1938-10-10 20:48:07.010000+00:00,1938-10-10,"182 km WNW of Tobelo, Indonesia",Indonesia,Asia,2.4,126.514,15.0,7.22,earthquake
iscgem902664,1938-09-07 04:03:19.810000+00:00,1938-09-07,"21 km SSW of Hualien City, Taiwan",Taiwan,Asia,23.807,121.506,15.0,7.09,earthquake
iscgem902629,1938-08-16 04:28:01.470000+00:00,1938-08-16,"31 km SE of Falam, Myanmar",Myanmar,Asia,22.723,93.912,75.0,7.02,earthquake
iscgem902546,1938-06-20 23:50:36.630000+00:00,1938-06-20,"22 km ESE of Kemin, Kyrgyzstan",Kyrgyzstan,Asia,42.717,75.947,15.0,7.03,earthquake
iscgem902539,1938-06-16 02:15:18.540000+00:00,1938-06-16,"78 km S of Naze, Japan",Japan,Asia,27.659,129.476,20.0,7.6,earthquake
iscgem902525,1938-06-10 09:53:43.600000+00:00,1938-06-10,"35 km N of Hirara, Japan",Japan,Asia,25.125,125.308,20.0,7.66,earthquake
iscgem902524,1938-06-09 19:15:10.320000+00:00,1938-06-09,"170 km WNW of Ambon, Indonesia",Indonesia,Asia,-3.146,126.75,15.0,7.08,earthquake
iscgem902508,1938-05-30 14:29:52.920000+00:00,1938-05-30,"72 km SW of Isangel, Vanuatu",Vanuatu,Oceania,-19.99,168.78,35.0,7.03,earthquake
iscgem902499,1938-05-23 08:21:51.080000+00:00,1938-05-23,"41 km W of Pagsanahan Norte, Philippines",Philippines,Asia,17.987,120.058,15.0,7.07,earthquake
iscgem902498,1938-05-23 07:18:30.500000+00:00,1938-05-23,"69 km ESE of Kitaibaraki, Japan",Japan,Asia,36.534,141.459,15.0,7.7,earthquake
iscgem902493,1938-05-19 17:08:47.320000+00:00,1938-05-19,"120 km NE of Palu, Indonesia",Indonesia,Asia,-0.045,120.537,35.0,7.7,earthquake
iscgem902481,1938-05-12 15:39:06.260000+00:00,1938-05-12,"48 km NW of Finschhafen, Papua New Guinea",Papua New Guinea,Oceania,-6.222,147.561,35.0,7.55,earthquake
official19380201190422_30,1938-02-01 19:04:22+00:00,1938-02-01,"141 km WNW of Tual, Indonesia",Indonesia,Asia,-5.045,131.614,25.0,8.5,earthquake
iscgem903401,1937-12-23 13:18:03.460000+00:00,1937-12-23,"3 km W of Huixtepec, Mexico",Mexico,North America,16.656,-98.338,25.0,7.4,earthquake
iscgem903210,1937-08-20 11:59:21.420000+00:00,1937-08-20,"6 km E of Tignoan, Philippines",Philippines,Asia,14.569,121.675,15.0,7.64,earthquake
iscgem903200,1937-08-11 00:55:56.700000+00:00,1937-08-11,"205 km NNE of Gili Air, Indonesia",Indonesia,Asia,-6.538,116.479,610.0,7.1,earthquake
iscgem903173,1937-07-22 17:09:32.270000+00:00,1937-07-22,Central Alaska,Alaska,North America,64.626,-146.82,10.0,7.12,earthquake
iscgem903121,1937-06-21 15:13:05.170000+00:00,1937-06-21,"55 km SW of Santiago de Cao, Peru",Peru,South America,-8.276,-79.628,30.0,7.11,earthquake
iscgem903042,1937-04-16 03:01:38.090000+00:00,1937-04-16,"227 km WNW of Haveluloto, Tonga",Tonga,Oceania,-20.596,-177.315,330.0,7.3,earthquake
iscgem902955,1937-02-21 07:02:42.240000+00:00,1937-02-21,"170 km ESE of Kuril’sk, Russia",Russia,Asia,44.447,149.733,30.0,7.44,earthquake
iscgem902922,1937-01-25 06:34:05.570000+00:00,1937-01-25,"76 km E of Kirakira, Solomon Islands",Solomon Islands,Oceania,-10.371,162.615,15.0,7.21,earthquake
iscgem902908,1937-01-07 13:20:42.780000+00:00,1937-01-07,"the central region of China, in the province of Gansu",China,Asia,35.331,97.761,15.0,7.81,earthquake
iscgem903937,1936-11-13 12:31:33.030000+00:00,1936-11-13,"61 km ESE of Ust’-Kamchatsk Staryy, Russia",Russia,Asia,56.017,163.386,20.0,7.32,earthquake
iscgem903917,1936-11-02 20:45:57.430000+00:00,1936-11-02,"83 km E of Ishinomaki, Japan",Japan,Asia,38.279,142.235,35.0,7.25,earthquake
iscgem903844,1936-09-19 01:01:47.150000+00:00,1936-09-19,"86 km WSW of Pangkalan Brandan, Indonesia",Indonesia,Asia,3.681,97.578,20.0,7.06,earthquake
iscgem903796,1936-08-22 06:51:34.870000+00:00,1936-08-22,"51 km E of Hengchun, Taiwan",Taiwan,Asia,21.963,121.24,15.0,7.13,earthquake
iscgem903742,1936-07-13 11:12:18.530000+00:00,1936-07-13,"83 km NNE of Taltal, Chile",Chile,South America,-24.718,-70.155,35.0,7.52,earthquake
iscgem903716,1936-06-30 15:06:41.460000+00:00,1936-06-30,"253 km SE of Vilyuchinsk, Russia",Russia,Asia,51.197,160.811,15.0,7.46,earthquake
iscgem903573,1936-04-19 05:07:17.010000+00:00,1936-04-19,"61 km NW of Gizo, Solomon Islands",Solomon Islands,Oceania,-7.656,156.508,20.0,7.27,earthquake
iscgem903538,1936-04-01 02:09:27.540000+00:00,1936-04-01,"161 km SE of Sarangani, Philippines",Philippines,Asia,4.264,126.379,35.0,7.75,earthquake
iscgem903478,1936-02-15 12:46:58.740000+00:00,1936-02-15,"152 km NNE of Tual, Indonesia",Indonesia,Asia,-4.374,133.32,15.0,7.13,earthquake
iscgem904721,1935-12-28 02:35:31.280000+00:00,1935-12-28,"212 km W of Pariaman, Indonesia",Indonesia,Asia,-0.278,98.242,30.0,7.6,earthquake
iscgem904697,1935-12-15 07:07:54.140000+00:00,1935-12-15,"56 km W of Kirakira, Solomon Islands",Solomon Islands,Oceania,-10.367,161.411,35.0,7.6,earthquake
iscgem904696,1935-12-14 22:05:26.220000+00:00,1935-12-14,"4 km SSW of Puerto Madero, Mexico",Mexico,North America,14.688,-92.438,35.0,7.31,earthquake
iscgem904591,1935-10-18 00:11:59.680000+00:00,1935-10-18,"192 km ENE of Miyako, Japan",Japan,Asia,40.232,144.06,15.0,7.19,earthquake
iscgem904577,1935-10-12 16:45:23.640000+00:00,1935-10-12,"136 km ENE of Miyako, Japan",Japan,Asia,40.176,143.378,15.0,7.12,earthquake
iscgem904529,1935-09-20 05:23:10.810000+00:00,1935-09-20,"55 km NNW of Ambunti, Papua New Guinea",Papua New Guinea,Oceania,-3.743,142.642,35.0,7.02,earthquake
iscgem904528,1935-09-20 01:46:43.460000+00:00,1935-09-20,"New Guinea, Papua New Guinea",Papua New Guinea,Oceania,-3.868,141.379,30.0,7.83,earthquake
iscgem904513,1935-09-11 14:04:03.360000+00:00,1935-09-11,"42 km SSW of Shikotan, Russia",Russia,Asia,43.424,146.618,35.0,7.46,earthquake
iscgem904497,1935-09-04 01:37:43.770000+00:00,1935-09-04,"66 km ENE of Hengchun, Taiwan",Taiwan,Asia,22.331,121.284,15.0,7.09,earthquake
iscgem904464,1935-08-17 01:44:37.420000+00:00,1935-08-17,southeast of the Loyalty Islands,Loyalty Islands,Oceania,-22.308,171.468,20.0,7.14,earthquake
iscgem904311,1935-05-30 21:32:57.110000+00:00,1935-05-30,"17 km WSW of Kalat, Pakistan",Pakistan,Asia,28.958,66.436,25.0,7.61,earthquake
iscgem904224,1935-04-20 22:02:00.960000+00:00,1935-04-20,"14 km N of Taichung, Taiwan",Taiwan,Asia,24.277,120.686,15.0,7.05,earthquake
iscgem905307,1934-12-15 01:57:41.290000+00:00,1934-12-15,"200 km NW of Dêqên, China",China,Asia,31.162,89.157,15.0,7.32,earthquake
